,interview,actual_result,expected_result
69," I am of course very disappointed. The disappointment is not due to the performance, the disappointment is not due to the performance. We did everything we can to win the game. We were better today, we can do better.",regular loss,dominant loss
70, It's not a nice feeling when you lose like this. I don't want to get carried away with such a defeat. It was clear to me in the first half that we were going to get into the game and that it would be a battle of attrition. It was clear to me in the second half that we were going to take something with us and that we would have to take a defensive approach.,regular loss,dominant loss
71," We were the better team for over 90 minutes. The 1-0 was a bit of a gift. After the break, Hoffenheim processed the gift and were also more efficient. We are disappointed that we were able to relegate this game to Bayer 04.",regular loss,dominant loss
72," We played very well in the first half, but then we got too many free kick chances. In the second half, we got more control and deserved to take advantage of our chances.",regular loss,dominant loss
73, We did very well in the first half. We didn't play well in the second half. After the 1-0 draw we got the game under better control.,regular loss,dominant loss
74," We had problems for a long time, but then we made up for it by switching from three-way football to a four-way. We didn't do well in the second half, but we did better in the second half. In the end, it's a deserved victory.",regular loss,dominant loss
75," We had a very good first half and deservedly won. In the second half we did very well. We weren't aggressive enough when it came to counterattacks. The 0: 2 was a good snapshot, but we didn't do it properly.",regular loss,dominant loss
76, It was a very intense and intense game with ups and downs. We had good control of the game and had a good grip on the game.,regular loss,dominant loss
77," It was a very difficult game. We had our chances to score, but we didn't make it. It was a very, very difficult game. The 0: 0 was very unfortunate. But we didn't give up.",regular loss,dominant loss
78," It was a deserved defeat, we weren't good enough in the first half. But the 2-0 was a good start. We have to get used to the situation better.",regular loss,dominant loss
79," We got into the game well, especially in the first half. We had the feeling that we were in the lead. The second half was much better, especially in terms of football, we weren't that good in terms of physicality. I would have liked us to have made more individual mistakes. But I also have to apologize to the audience today that we have to leave the field as a professional.",regular loss,dominant loss
80, We are disappointed. It was a disastrous first half for us and a setback for us. It's not easy today. We have to get used to the second half.,regular loss,dominant loss
81, We played a really good game and created opportunities for ourselves. After the 0-1 the game was over. We have to be more consistent in our counterattacks. We were a little lucky in one or two situations. But the team's mentality has to stay the same.,regular loss,dominant loss
82," We played a really good first half and were very brave in front of goal. After the break we switched and were very brave. The 0: 1 was not undeserved, the 0: 2 was undeserved.",regular loss,dominant loss
83," It was an absolutely deserved defeat. It was a very, very important victory for Hoffenheim. We played a very good football. We didn't let the ball run too much and didn't let the ball run too much.",regular loss,dominant loss
84," I'm very disappointed. We didn't deserve this defeat, we didn't deserve it.",regular loss,dominant loss
85," We were a little lucky in one or the other situation, but we had the necessary amount of luck to make it 2-0. In the end we are very happy with the result and the game.",regular loss,dominant loss
86, I'm disappointed. It's a shame that we didn't take a point. We were always the better team. We didn't get into the game well.,regular loss,dominant loss
87," We played a very good first half. After the break we were better, but we were too passive and too passive.",regular loss,dominant loss
88," We played a very good game in the first half, had access to the ball and created chances. We have to be more determined in our assignment situations, that is important.",regular loss,dominant loss
89," We are disappointed that we lost to a top team today. It wasn't a nice, if not pleasant, appearance for us. I can't blame the team for anything. We weren't good at football. We have to live with the point.",regular loss,dominant loss
90," The team played a very good game, especially in the first half. After the break, Hoffenheim pressed very aggressively, even though we were outnumbered. We were very lucky there, but of course we have to make it 2-0. The 0: 1 was an open exchange of blows.",regular loss,dominant loss
91," We got into the game well, but didn't take advantage of our chances. After conceding the goal, we didn't defend well, and that didn't look good. After the 0: 1 we had the feeling that something was missing. But after that we were better and more assertive.",regular loss,dominant loss
92," We are not going to let the point matter count. It was a very, very difficult game. We played our way up until half-time. The goals conceded were unfortunately not enough. The 0: 2 was a bit too cheap in itself. We should have scored more goals, but unfortunately not that easy. The win is okay, but we have to go into the break with a 0-0 draw.",regular loss,dominant loss
93," We had a good grip on the game, but we were too passive in the first half. In the second half we were too passive in the first half. In the end we were too passive in the second half.",regular loss,dominant loss
94, We got into the game well and did very well. We were lucky that we didn't get a penalty and that was the key to victory. We were lucky that we didn't lose the game.,regular loss,dominant loss
95," It's a deserved defeat. We didn't defend well together, but we made too many mistakes. The team showed a reaction, but we were too passive. I think we played a good game today.",regular loss,dominant loss
96," We were very, very nervous at the beginning, but after the 2-0 win we were very happy with the game and had the feeling that we could take something with us. It was an even game, we have to go into the break with a 1-1 draw. That was an even game. It's a shame we didn't take anything with us.",regular loss,dominant loss
97, We did it very well for over 90 minutes. We had the opportunity to make it 2-0. We were then too passive in the second half.,regular loss,dominant loss
98," We didn't play well, especially in the first half, and we weren't good at the game. In the second half we switched to diamond, and that was a disastrous decision. We have to accept that. It was an incredibly important victory for us.",regular loss,dominant loss
99," I am of course disappointed. We didn't win the game. The only positive thing is the way. We didn't win the ball. We played a lot better in the first half, but then we lost the ball too quickly.",regular loss,dominant loss
100,"I am very disappointed. We didn't deserve it, but I can't blame the team. That was clearly the case with us. I am very disappointed. We didn't deserve it, but I can't blame the team.",tie,dominant loss
101,"We had problems for over 90 minutes. The 1-0 is okay, the 2-0 is okay. We were very, very good at the game, but we didn't take advantage of our chances.",tie,dominant loss
102,It was an extremely difficult game. We had big plans and had the chance to take the lead. The 2-0 was very important. The 2-0 was a nice snapshot. We didn't have the punch against the ball and we were too passive.,tie,dominant loss
103,"We had problems in the first half, then we got a little more access. After that, we lost the game. It's hard to explain why the point is not enough. We have to speak critically about the next few weeks.",tie,dominant loss
104,We had a really good first half. But we didn't take our chances. The 0: 1 falls like a punch. The 2: 2 falls like a punch.,tie,dominant loss
105,We are very satisfied with the three points. It was a well-deserved win for Schalke. We had good access and we had good control in the first half.,tie,dominant loss
106,We have to be very positive about the point. It was a very intense game with lots of possession. We had good control of the game and were able to use our chances to score in the second half. We have to keep in mind that the points are measured in terms of how many meters the opponent has to fall onto.,tie,dominant loss
107,"I'm not satisfied with the point. It was a game where you could see that the point is not always equal in terms of play. It wasn't like we were in the second half, we didn't do well. It was a game where you could see that the point is not always equal in terms of play. It wasn't like we were in the second half, we didn't do well. We didn't get into the game well, but we did well.",tie,dominant loss
108,We played a very good first half with a lot of power and created a lot of chances. But we didn't let our nerves get our way. We defended that with a lot of force.,tie,dominant loss
109,"We have to be very satisfied with the point. We did well in the first half, but we didn't take advantage of our good positional play. We have to keep our courage.",tie,dominant loss
110,"We were clearly the better team for the first 20 minutes, then we lost the game completely in half time. We had a lot of possession in the second half, but we weren't aggressive enough in the crucial situations. We were the happier team.",tie,dominant loss
111,"We played a very good game, with a lot of possession. The second half was better, with a lot of possession, with a lot of power. It was important that we kept calm after the game.",tie,dominant loss
112,We played a very good game with a lot of possession. We were a little lucky in one or two situations. We didn't want to give up and lost Leipzig's first ball. In the second half we got more control and were more effective.,tie,dominant loss
113,"We played a really good first half and deservedly took the lead. We didn't allow many chances and we conceded the second goal too easily. In the second half we switched to diamond. The 1: 2 was very annoying, but the 2: 3 was the icing on the cake.",tie,dominant loss
114,"We didn't deserve this point in the first half, we didn't have enough penetration. We didn't have the strength to defend Dortmund. It's not like I'm getting into the details. The point is okay, we're still left empty-handed.",tie,dominant loss
115,"I'm very satisfied with the performance of my team. We didn't play a good game for 60 minutes, we didn't have enough counterattacks, so I'm very satisfied with the performance of my team.",tie,dominant loss
116,We were clearly the better team for 90 minutes. We weren't good enough in the first half. Then we get a little tired and have to be replaced at some point.,tie,dominant loss
117,I'm happy with the point. It was important for us to score early and then take the lead. We had problems with the timing and timing of the red card. But I'm happy with the point.,tie,dominant loss
118,"I think we got the point. We had a lot of control in the first half, we didn't do well in the second half, we had to go to the limit and get a goal. That's why we're in a very precarious situation.",tie,dominant loss
119,"It was an intense game with a clear dominance over long balls. We did well in the first half and were very effective. After the break, we were in control of the game. The 1: 1 was the most important victory for us.",tie,dominant loss
120,"We were a little lucky in the first run, we were better in the second half. But you can't really blame the team for not leading in the table. We played too many counterattacks and didn't defend intelligently.",tie,dominant loss
121,"I am satisfied with the performance of my team, especially in the first half. We didn't let anything burn and we didn't allow anything. We didn't do well in the second half, but the win is absolutely fine.",tie,dominant loss
122,"We got into the game well. It was an open exchange of blows. We were a little lucky at the beginning. The 1: 1 was a bit too easy for me. It was a good second for Wolfsburg, but unfortunately the second goal didn't go so well.",tie,dominant loss
123,"I think we played a very good game up to the opening goal. We then had the opportunity to make it 2-0. It was a fair result. The second half was better, the players rewarded themselves for their hard work.",tie,dominant loss
124,It was a very difficult game. We had to withstand the pressure of a Champions League aspirant. I am satisfied. We were the happier team for over 90 minutes. We were in the game for 60 minutes and we had a good grip. We are very happy with the point.,tie,dominant loss
125,"We played a very good first half and were very brave in front of goal. The second half was better, we controlled the game for over 90 minutes.",tie,dominant loss
126,"We have to live with the point. The way the guys did it today, we deserved to win. We did well in the first half and were very dangerous.",tie,dominant loss
127,"I am of course disappointed with the result. We played a very good game. The team did very well. We have to keep in mind that we were relegated, that we are currently sitting fourth in the table.",tie,dominant loss
128,"We played a very good game. We had a lot of control in the first half, then it got a little too tight. The 0: 1 was okay, but we didn't take advantage of our great positional play.",tie,dominant loss
129,"It was a game with a clear dominance over long balls. We had a lot of control in the first half, but we didn't let anything go and then we lost the game entirely. We had a lot of control over the game in the second half, but we didn't let anything go. We were a little lucky in the first half, but we didn't allow much.",tie,dominant loss
130,We played a very good first half. We didn't have the security that you need in a top team. We were more dangerous with the ball. The 1: 2 was more cosmetic in the end.,tie,dominant loss
131,"I'm not interested in statistics, I'm interested in statistics. We have had a very, very good season. But the table situation is not okay. We have to get a little clearer and better. We have to keep looking good. We have to stay calm.",tie,dominant loss
132,It was a very intense game. We had a good structure and we controlled the game well. The 0: 1 was a little too high. It is very difficult to lose a game like this.,tie,dominant loss
133,"We didn't get into the game well. We weren't good enough in front of the goal, so we had to be patient. The 0-0 is a good sign for us, because we have invested a lot.",tie,dominant loss
134,We got into the game well and created a lot of chances to score. In the first half we didn't take the chances and we didn't defend well. In the second half we had two great opportunities. It's not that easy against a top team.,tie,dominant loss
135,"We are disappointed. We played a really good game. We had to be patient. We should have led 2-0 at the break, then we should have gone to the break with a 1-0 win. We are disappointed.",tie,dominant loss
136,"We didn't play well today, especially in the first half. In the second half, we did better, but we didn't make it through the duels. In the end, we deserved to win.",tie,dominant loss
137,I think we played a very good game up to the 60th minute. After the break we had the opportunity to take a defensive approach. In the second half we had to put more pressure on. It was an open exchange of blows. In the end it was a deserved win.,tie,dominant loss
138,"We are disappointed. We didn't win the game and didn't deserve it. In the end, it was deserved.",tie,dominant loss
139,"I'm not saying I'm satisfied, we have to go to the limit first. But the team did a great job. It was important for us to make it 1-0 through Mario Gomez and then we missed a lot of chances. We had two very good chances in the second half.",tie,dominant loss
140,"I am not dissatisfied with the result. It was a game with a lot of power, it wasn't easy for the team. We had a lot of control in the first half, then we got a lot more into the game. I am not satisfied with the result, but the team played their best game of the season. I am not dissatisfied with the second half, but the team played their best game of the season.",tie,dominant loss
141,"We played a really good game today with a lot of aggressiveness, which I'm very happy with. We were very dominant in the first half, and we didn't want to allow anything. We didn't allow much, but we had a lot of control in the second half.",tie,dominant loss
142,I am not satisfied with the point. We did well in the first half and had good access. We didn't have the mental freshness to take the lead.,tie,dominant loss
143,"I'm disappointed that we lost to a very good team. We didn't play as well as we could. We had a lot of possession, but we didn't take advantage of the few chances. I am disappointed that we lost to a very good team.",tie,dominant loss
144,"We played a very good first half. After the break, Wolfsburg played their class very well.",tie,dominant loss
145,"We had good control in the first half and then we should have scored a goal. After the break, the team came out better and were able to turn the game around.",tie,dominant loss
146, We are of course not satisfied with the point. But the point is okay in the end. We have to be realistic about our performance.,tie,dominant loss
147,We are disappointed because we didn't deserve this point. We have to play football very well. We didn't have the precision and the courage to do so.,tie,dominant loss
148,"It was a very intense game with a clear dominance. We didn't allow much, we didn't defend well, and we had no clear scoring chances. We had one or two great opportunities to score.",tie,dominant loss
149,We played a very good first half and created a lot of chances to score. We then played well up front. We had two great opportunities.,tie,dominant loss
150," We played a very good first half and created a lot of chances. We didn't defend well, but we did well. In the second half we made the mistake of luck that we didn't use. We were very patient.",regular win,dominant loss
151," We started well, but didn't make it 1-0. After conceding a goal, we were very dominant and played well forward. But we also lacked the courage to do so. We were also lucky in one or the other situation.",regular win,dominant loss
152, We did very well. We had a lot of good ball wins. But you also have to compliment the team for not losing patience in the crucial situations.,regular win,dominant loss
153," It's a very important win for us. We had a good plan in the first half. The second half was better, the guys did it well.",regular win,dominant loss
154," The win is absolutely fine, especially after the first half. But we weren't the worse team for over 90 minutes. In the end, we were a little lucky.",regular win,dominant loss
155," It was a very difficult game, especially in the first half. The team had more possession and were better in the second half. The 1-0 for Schalke gave us the confidence to go into the break. The 1-0 was very important for our victory.",regular win,dominant loss
156, I am very satisfied with the game. We didn't allow many chances to score in the first half. The 1-0 win was the most important. The second half was even. The win is deserved.,regular win,dominant loss
157, It was a very important victory for us. It was important that we played a very good first half.,regular win,dominant loss
158," The win is absolutely deserved, the win was absolutely deserved. It was a very cohesive team effort. We played very well for over 90 minutes.",regular win,dominant loss
159, It was a very intense game from both teams. We played very compactly and compactly at the front. The 2-0 is very important for our morale. We didn't let the backlogs get us down in the second half. The 0: 3 is a good start.,regular win,dominant loss
160," It was a very intense game. We had to be patient. We had a lot of possession in the first half, but then we didn't make it 2-0. We had our options there. But overall it was a very, very good performance from us.",regular win,dominant loss
161," We did a really great job. We didn't allow much, but we didn't let the ball run very well. The 0: 2 was a little too high, but the 2-0 was a bit of fun.",regular win,dominant loss
162," We are of course very satisfied. We were able to score two goals with a lot of power and we have to score three more goals. It was a great performance from us. We didn't let anything burn, but we wanted to keep our shape up.",regular win,dominant loss
163," I am very satisfied. We had a very good first half and we should have scored the third goal. After the break we were even clearer and faster, but we had the luck we needed.",regular win,dominant loss
164," We played a really good first half and deservedly took the lead. We got the goal early, but we missed the second and third goals. We had problems defending Dortmund, but we defended that very well.",regular win,dominant loss
165," We were the more dangerous team for 60 to 70 minutes, but then we made the right decision. That was the key for the victory. We didn't let our opponents know that we were still unbeaten.",regular win,dominant loss
166," We played a really good game, especially in the first half. We were very good at switching. The first half was a game in transition. After the break, we had the chance to make it 2-0. Then we played our counterattack very well.",regular win,dominant loss
167," We are of course very happy. We didn't do well in the first half. We didn't take advantage of the huge chances to score. After the break, we decided to take a defensive approach. The team then showed a great mentality and mentality after the 1-1 draw.",regular win,dominant loss
168, We got into the game well and were able to create scoring opportunities. The 1-0 opened the game for us and was very effective. We are happy that we were able to score two points.,regular win,dominant loss
169," We played a good first half with a good mentality and a good mentality. The second half was better, but overall I'm very satisfied.",regular win,dominant loss
170," We started very well and had two good chances to score. Unfortunately we missed the last consequence in the last third. It was a bit of a wear and tear, but overall we did pretty well.",regular win,dominant loss
171," It was a very difficult game for us. The first half was very good, we had the ball out of the penalty area much better, but then we missed the last pass. That was a shame. We are disappointed.",regular win,dominant loss
172," We are very happy with the win, but we can't really credit the players. We didn't play as badly as we did last year.",regular win,dominant loss
173," We had problems for the first 30 minutes, then we came back too easily. Then we made it 2-0 and played very poorly for a long time. The 0: 1 was the key, but we didn't make it.",regular win,dominant loss
174," It was an intense game. We had to play patiently and had our chances. The 2-0 is the only way to win the game. The 1-0 was the logical result. The win is deserved, the team showed a lot of character. We have shown that we can handle the situations better.",regular win,dominant loss
175," We played a good game with a lot of possession, especially in the first half. We had the ball in the first half, but we missed the last pass.",regular win,dominant loss
176," It was a very difficult game, we had little control and had few chances to score. We didn't allow much and had to run a lot. We didn't defend well and allowed little. We are happy that we are finally leading 2-0 and are happy that we are finally leading 2-0.",regular win,dominant loss
177," The team was very efficient. After the 0: 1 we were very compact. We had the chance to take the lead and had a great opportunity. The win is deserved, we didn't have the luck, the mentality and the mentality. It's a great end to an outstanding season.",regular win,dominant loss
178, We are of course very satisfied. It was important that we scored two goals. It was a very important win in which we were in the lead.,regular win,dominant loss
179, I'm very happy about the three points. We had to be patient and defend forward. It was a very difficult game with many corners against a well-organized team. The win is absolutely deserved.,regular win,dominant loss
180," We were very dominant in the first half, but we weren't good enough at the second. The second half was better, but we didn't have the final consequence. We didn't have the consistency to make the goal out of the second half. In the end we are a little lucky.",regular win,dominant loss
181, We did very well in the first half. It was very difficult for Gladbach to take the lead. We were patient and clever. We had to score the second goal at the right moment. We were very brave and clever. We have to win today!,regular win,dominant loss
182, I think we played a really good first half. After conceding the goal we were very brave and created a lot of chances. We were very brave and controlled the game. I am very happy.,regular win,dominant loss
183," The win is absolutely deserved, especially in the end. The team fought very, very hard for 60 minutes. The performance was good, but the team didn't let anything burn.",regular win,dominant loss
184," It was a very intense game. We didn't let anything get burned and had to be on our guard. It was very, very wild and wild. The 1-0 win was the turning point in the game. The 1-0 win is the only way forward.",regular win,dominant loss
185, We played a really good first half and were able to crack the first half very well. We have to live with that point.,regular win,dominant loss
186," I am very happy. We had a great first half. After falling behind, it was important that we kept zero. We had the ball in the second half, but then unfortunately didn't take it. The team did a great job. We're happy to have three points.",regular win,dominant loss
187," The team played a good game, we had good ball losses and we deserved to win. It was important for us that we kept zero today.",regular win,dominant loss
188," The win was absolutely deserved, the boys gave everything. That was a huge compliment to the team. It was a huge compliment to the players and also to the fans. I think we played a really good game today.",regular win,dominant loss
189, It was a tough game from both sides. We were the happier team for over 90 minutes. We are happy that we won the game.,regular win,dominant loss
190," It was a very intense game, we had a lot of possession and we had a lot of possession. It's a very, very good second half for us.",regular win,dominant loss
191," The team showed their reaction after falling behind, and we deservedly won. We did a little better in the second half, but we should have made it 2-0. After the break we made a few corrections and then we were 2-0. That was a good performance for the team.",regular win,dominant loss
192," I am extremely satisfied with the result. We did very well. The first half was very wild. In the second half we did well, but unfortunately not enough. We had a few chances to score.",regular win,dominant loss
193," We are very happy with the three points. We wanted to keep our offensive game under control. We didn't succeed, we simply lost the ball. We didn't succeed in keeping the ball out of the penalty area, but we still had the ball. The win is deserved, the team has shown that.",regular win,dominant loss
194," It was an incredibly difficult game. We had a lot of possession, but we didn't allow a lot. We had to put in a lot of effort.",regular win,dominant loss
195," I'm happy that we won the game. We didn't have the security, the ball security and the flow of the field. We were the more dangerous team.",regular win,dominant loss
196, We played a very good first half and had a great opportunity. We had to defend well in the second half. After the break we got a little more security and the win is deserved.,regular win,dominant loss
197," We played a very good first half and then unfortunately we missed a goal. Unfortunately, we were too passive. In the end, the victory is deserved.",regular win,dominant loss
198," It's a great win, especially after the 1-0 win in Frankfurt. The guys implemented that well in a way that was consistent. We were the better team for over 90 minutes.",regular win,dominant loss
199," It was a very intense game from both teams. It was extremely intense and I'm very satisfied. The first half was definitely the best I've seen my team play. The second half was a bit wild, we didn't get any more possession, but it was a good performance for us.",regular win,dominant loss
200," We did it very well. We didn't do well in the first half, then the second half came. The first half was better, the second half wasn't good.",dominant win,dominant loss
201," It's a very important win for us. We didn't play a good game in the first half, then you have to take something with you. The 1-0 was important, but then we missed a second goal. The 3-0 is a nice snapshot, and we're very happy.",dominant win,dominant loss
